startDay,endDay,buckets,inc,N_H,L_H,local
733,740,7,0,15276566,73,bahia
740,747,7,17,15276566,73,bahia
747,754,7,35,15276566,73,bahia
754,761,7,35,15276566,73,bahia
761,768,7,70,15276566,73,bahia
768,775,7,104,15276566,73,bahia
775,782,7,296,15276566,73,bahia
782,789,7,348,15276566,73,bahia
789,796,7,539,15276566,73,bahia
796,803,7,591,15276566,73,bahia
803,810,7,713,15276566,73,bahia
810,817,7,1304,15276566,73,bahia
817,824,7,1287,15276566,73,bahia
824,831,7,1600,15276566,73,bahia
831,838,7,2539,15276566,73,bahia
838,845,7,3513,15276566,73,bahia
845,852,7,4052,15276566,73,bahia
852,859,7,5391,15276566,73,bahia
859,866,7,4122,15276566,73,bahia
866,873,7,3583,15276566,73,bahia
873,880,7,2713,15276566,73,bahia
880,887,7,2243,15276566,73,bahia
887,894,7,2157,15276566,73,bahia
894,901,7,1861,15276566,73,bahia
901,908,7,1670,15276566,73,bahia
908,915,7,1948,15276566,73,bahia
915,922,7,2574,15276566,73,bahia
922,929,7,3096,15276566,73,bahia
929,936,7,2661,15276566,73,bahia
936,943,7,2139,15276566,73,bahia
943,950,7,1687,15276566,73,bahia
950,957,7,1252,15276566,73,bahia
957,964,7,904,15276566,73,bahia
964,971,7,678,15276566,73,bahia
971,978,7,522,15276566,73,bahia
978,985,7,539,15276566,73,bahia
985,992,7,400,15276566,73,bahia
992,999,7,400,15276566,73,bahia
999,1006,7,348,15276566,73,bahia
1006,1013,7,261,15276566,73,bahia
1013,1020,7,261,15276566,73,bahia
1020,1027,7,278,15276566,73,bahia
1027,1034,7,278,15276566,73,bahia
733,740,7,7,3442175,75.2,riograndedonorte
740,747,7,10,3442175,75.2,riograndedonorte
747,754,7,16,3442175,75.2,riograndedonorte
754,761,7,15,3442175,75.2,riograndedonorte
761,768,7,38,3442175,75.2,riograndedonorte
768,775,7,78,3442175,75.2,riograndedonorte
775,782,7,125,3442175,75.2,riograndedonorte
782,789,7,208,3442175,75.2,riograndedonorte
789,796,7,124,3442175,75.2,riograndedonorte
796,803,7,125,3442175,75.2,riograndedonorte
803,810,7,171,3442175,75.2,riograndedonorte
810,817,7,207,3442175,75.2,riograndedonorte
817,824,7,108,3442175,75.2,riograndedonorte
824,831,7,201,3442175,75.2,riograndedonorte
831,838,7,285,3442175,75.2,riograndedonorte
838,845,7,502,3442175,75.2,riograndedonorte
845,852,7,610,3442175,75.2,riograndedonorte
852,859,7,653,3442175,75.2,riograndedonorte
859,866,7,702,3442175,75.2,riograndedonorte
866,873,7,533,3442175,75.2,riograndedonorte
873,880,7,477,3442175,75.2,riograndedonorte
880,887,7,523,3442175,75.2,riograndedonorte
887,894,7,342,3442175,75.2,riograndedonorte
894,901,7,311,3442175,75.2,riograndedonorte
901,908,7,268,3442175,75.2,riograndedonorte
908,915,7,194,3442175,75.2,riograndedonorte
915,922,7,201,3442175,75.2,riograndedonorte
922,929,7,204,3442175,75.2,riograndedonorte
929,936,7,144,3442175,75.2,riograndedonorte
936,943,7,124,3442175,75.2,riograndedonorte
943,950,7,122,3442175,75.2,riograndedonorte
950,957,7,119,3442175,75.2,riograndedonorte
957,964,7,115,3442175,75.2,riograndedonorte
964,971,7,78,3442175,75.2,riograndedonorte
971,978,7,59,3442175,75.2,riograndedonorte
978,985,7,48,3442175,75.2,riograndedonorte
985,992,7,47,3442175,75.2,riograndedonorte
992,999,7,38,3442175,75.2,riograndedonorte
999,1006,7,35,3442175,75.2,riograndedonorte
1006,1013,7,44,3442175,75.2,riograndedonorte
1013,1020,7,38,3442175,75.2,riograndedonorte
1020,1027,7,45,3442175,75.2,riograndedonorte
1027,1034,7,51,3442175,75.2,riograndedonorte
1034,1041,7,28,3442175,75.2,riograndedonorte
